ID,Section Merged,Topic,English Text Problem,English Text Solution,Section,Haochen Database ID
20620,Geometry and Measures,vectors,Work out  as a column vector.,"Method 1
Write a and b as column vectors.a goes 1 to the right and 2 up.b goes 1 to the right and 3 down.

Substitute the column vectors into the expression.

[1]

 [1] Method 2
Draw the resultant vector on the grid. Draw the vector b starting at the end of vector a. Draw another vector b starting at the end of the previous vector b.

[1]
Write the resultant vector (from start of a to the end of the second b) as a column vector. It goes 3 to the right and 4 down,.
 [1]",4-geometry-and-measures,
24753,Congruence and Similarity,vectors,Work out  as a column vector.,"Method 1
Write a and b as column vectors.a goes 1 to the right and 2 up.b goes 1 to the right and 3 down.

Substitute the column vectors into the expression.

[1]

 [1] Method 2
Draw the resultant vector on the grid. Draw the vector b starting at the end of vector a. Draw another vector b starting at the end of the previous vector b.

[1]
Write the resultant vector (from start of a to the end of the second b) as a column vector. It goes 3 to the right and 4 down,.
 [1]",9-congruence-and-similarity,
20891,Geometry and Measures,bearings-scale-drawing-constructions-and-loci,"Here is a map.The map shows two airports,  and .

Sophie is going to have a hotel built.
The hotel
will be closer to airport  than to airport .will be less than 40km from airport .
On the map, shade the region where the hotel can be built.","To show the area that is closer to B than to A you need to construct a perpendicular bisector.Start by connecting A and B with a straight line.

Set the distance of the compasses to greater than half the length AB. Place the point of the compasses on point A and draw an arc that goes above and below the line AB.Repeat the same action but with the point of the compasses placed on point B.Make sure the arcs are long enough to intersect both above and below AB.
Draw a straight line between the two points of intersection.

Correct bisector [1]
Write down the scale of the map.
1 cm : 10 km
Multiply both parts of the ratio by 4 to find the distance on the map that corresponds to the real-life distance of 40 km.
4 cm : 40 km
Set the distance of the compasses to 4 cm, place the point of the compasses on point B, and draw a circle.

Correct arc  [1]
Shade the region on the diagram that is closer to B than to A and within 4 cm of B.

Correct region shaded [1]",4-geometry-and-measures,
21368,Geometry and Measures,bearings-scale-drawing-constructions-and-loci,"Here is a map.The map shows two airports,  and .

Sophie is going to have a hotel built.
The hotel
will be closer to airport  than to airport .will be less than 40km from airport .
On the map, shade the region where the hotel can be built.","To show the area that is closer to B than to A you need to construct a perpendicular bisector.Start by connecting A and B with a straight line.

Set the distance of the compasses to greater than half the length AB. Place the point of the compasses on point A and draw an arc that goes above and below the line AB.Repeat the same action but with the point of the compasses placed on point B.Make sure the arcs are long enough to intersect both above and below AB.
Draw a straight line between the two points of intersection.

Correct bisector [1]
Write down the scale of the map.
1 cm : 10 km
Multiply both parts of the ratio by 4 to find the distance on the map that corresponds to the real-life distance of 40 km.
4 cm : 40 km
Set the distance of the compasses to 4 cm, place the point of the compasses on point B, and draw a circle.

Correct arc  [1]
Shade the region on the diagram that is closer to B than to A and within 4 cm of B.

Correct region shaded [1]",4-geometry-and-measures,
17784,Number and Operations,prime-factors-hcf-and-lcm,Find the smallest whole number that 720 can be multiplied by to give a square number.,"Method 1
If your answer to (a) is written in the form ""2 × 2 × 2 × 2 × 3 × 3 × 5"" then we can rearrange this to
[2 × 2 × 3] × [2 × 2 × 3] × 5
[2 × 2 × 3] × [2 × 2 × 3] is already square so to make the full number square we would need to multiply by another 5 so the number becomes
[2 × 2 × 3 × 5] × [2 × 2 × 3 × 5]
Using your calculator to evaluate this number gives
3600 [1]
 Method 2
If your answer to (a) is written in the form ""24 × 32 × 5"" then we can see that ""24 × 32"" is already square (all even powers are square numbers, 24 × 32 = [22 × 3] × [22 × 3])
To make the full number square, we would need to multiply by another 5 so the number becomes
24 × 32 × 52
 Using your calculator to evaluate this number gives
3600 [1]",1-number,
18600,Number and Operations,prime-factors-hcf-and-lcm,Find the smallest whole number that 720 can be multiplied by to give a square number.,"Method 1
If your answer to (a) is written in the form ""2 × 2 × 2 × 2 × 3 × 3 × 5"" then we can rearrange this to
[2 × 2 × 3] × [2 × 2 × 3] × 5
[2 × 2 × 3] × [2 × 2 × 3] is already square so to make the full number square we would need to multiply by another 5 so the number becomes
[2 × 2 × 3 × 5] × [2 × 2 × 3 × 5]
Using your calculator to evaluate this number gives
3600 [1]
 Method 2
If your answer to (a) is written in the form ""24 × 32 × 5"" then we can see that ""24 × 32"" is already square (all even powers are square numbers, 24 × 32 = [22 × 3] × [22 × 3])
To make the full number square, we would need to multiply by another 5 so the number becomes
24 × 32 × 52
 Using your calculator to evaluate this number gives
3600 [1]",1-number-operations-and-integers,
23334,"Ratio, Proportion, and Rates of Change",direct-and-inverse-proportion,"At a depth of  metres, the temperature of the water in an ocean is .At depths below metres,  is inversely proportional to.
 is given by
            
Work out the difference in the temperature of the water at a depth of  metres and the temperature of the water at a depth of metres.","Substitute the values of x into the formula to find the corresponding values of T.
      
[1]
Now subtract the two values to find the difference.Remember to give your final answer as degrees Celsius.
  
[1]
  [1]",3-ratio-proportion-and-rates-of-change,
24002,"Ratio, Proportion, and Rates of Change",direct-and-inverse-proportion,"At a depth of  metres, the temperature of the water in an ocean is .At depths below metres,  is inversely proportional to.
 is given by
            
Work out the difference in the temperature of the water at a depth of  metres and the temperature of the water at a depth of metres.","Substitute the values of x into the formula to find the corresponding values of T.
      
[1]
Now subtract the two values to find the difference.Remember to give your final answer as degrees Celsius.
  
[1]
  [1]",5-ratio-proportion-and-rates-of-change,
15057,Algebra,algebraic-proof,"Tick whether the following statement is true or false.
Give a reason for your answer.
When  is a positive integer, the value of  is always a factor of the value of .
True          False    


","True       .  As 20n is divisble by 2n for all values of n, 2n is always a factor of 20n [1]",2-algebra,50091ad5-a0ae-4576-9c18-c050e5aa2ccc
17068,Algebra,algebraic-proof,"Tick whether the following statement is true or false.
Give a reason for your answer.
When  is a positive integer, the value of  is always a factor of the value of .
True          False    


","True       .  As 20n is divisble by 2n for all values of n, 2n is always a factor of 20n [1]",2-algebra,e96feed2-9e38-4d78-aba5-5218d9495dc2
