Lemma,Unique Topics Count,POS Tags
give,33,VERB
make,21,"VERB, NOUN"
subject,6,"ADJ, NOUN"
formula,15,NOUN
solve,14,"VERB, NOUN"
simultaneous,3,ADJ
equation,5,NOUN
show,54,"VERB, NOUN"
clear,10,ADJ
algebraic,11,ADJ
working,54,NOUN
write,46,VERB
first,24,"ADV, ADJ"
term,28,NOUN
sequence,6,NOUN
give,50,VERB
solution,9,NOUN
correct,47,"ADJ, VERB"
significant,21,ADJ
figure,21,NOUN
find,54,"VERB, NOUN"
value,60,NOUN
.2,1,PROPN
ii,35,PROPN
-33,2,PROPN
here,53,ADV
graph,22,NOUN
quadratic,6,"ADJ, NOUN"
function,5,NOUN
integer,16,NOUN
number,43,NOUN
line,30,"VERB, NOUN"
represent,12,"NOUN, VERB"
solution,6,NOUN
set,11,"NOUN, VERB"
part,39,"ADJ, NOUN"
part,3,NOUN
a,24,NOUN
show,40,VERB
dash,3,VERB
grid,20,"VERB, NOUN"
below,33,ADV
draw,16,VERB
arithmetic,2,"ADJ, NOUN"
expression,20,NOUN
term,8,NOUN
pattern,5,NOUN
make,26,VERB
use,26,VERB
identical,11,ADJ
rectangular,9,ADJ
tile,6,NOUN
total,31,"ADJ, NOUN"
area,29,NOUN
prove,10,"ADJ, VERB"
algebraically,6,ADV
straight,20,ADJ
equation,28,NOUN
tangent,8,NOUN
circle,17,NOUN
inequality,2,NOUN
diagram,40,"NOUN, PROPN"
write,17,VERB
form,44,"VERB, NOUN"
positive,16,ADJ
number,21,NOUN
work,62,"VERB, NOUN"
value,33,NOUN
find,39,VERB
possible,32,ADJ
ratio,26,NOUN
point,28,"VERB, NOUN"
Circle,49,PROPN
above,8,ADV
sketch,12,"NOUN, VERB"
geometric,2,ADJ
progression,1,NOUN
start,9,VERB
next,17,"ADJ, ADV"
expand,4,VERB
simplify,6,VERB
complete,22,VERB
table,28,NOUN
th,2,"ADJ, NOUN"
give,23,VERB
integer,27,NOUN
2nd,3,ADJ
4th,3,ADJ
6th,1,ADJ
Gemma,3,PROPN
say,34,VERB
+,10,"NOUN, PROPN"
