English Text Problem,Section Merged,Section,Topic
"Given that make  the subject of the formula 
",Algebra,2-algebra,rearranging-formulae
"Solve the simultaneous equations

Show clear algebraic working.
",Algebra,2-algebra,simultaneous-equations
"Write down the first two terms of this sequence.
..........      ...........      3      11      14",Algebra,2-algebra,sequences
"Solve   
Give your solutions correct to  significant figures.",Algebra,2-algebra,solving-quadratic-equations
"i)
Find the value of  and the value of .2                  10 
[3]
 
ii)
Find the value of , the value of  and the value of .
-33                        18
[5]",Algebra,2-algebra,sequences
"Solve the simultaneous equations

Show clear algebraic working.
",Algebra,2-algebra,simultaneous-equations
"Here is the graph of  where  is a quadratic function.

Write down all the integer solutions of 
",Algebra,2-algebra,solving-inequalities
"On the number line, represent the solution set to part a).

",Algebra,2-algebra,solving-inequalities
"Here is the graph of for 

In parts (a) and (b) the graph of  is shown as a dashed line.
On the grid below, draw the graph of  for 


",Algebra,2-algebra,transformations-of-graphs
"Here are the first four terms of an arithmetic sequence.

Find an expression, in terms of , for the  term of this sequence.
",Algebra,2-algebra,sequences
"Solve the simultaneous equations

Show clear algebraic working.
",Algebra,2-algebra,simultaneous-equations
"Solve the simultaneous equations
",Algebra,2-algebra,simultaneous-equations
"A pattern is made using identical rectangular tiles.

Find the total area of the pattern.",Algebra,2-algebra,simultaneous-equations
Prove algebraically that the straight line with equation  is a tangent to the circle with equation ,Algebra,2-algebra,simultaneous-equations
"
Write down the inequality shown in the diagram.",Algebra,2-algebra,solving-inequalities
"Solve the inequality 
",Algebra,2-algebra,solving-inequalities
" can be written in the form 
where  and are positive numbers.Work out the values of   and .
",Algebra,2-algebra,solving-quadratic-equations
"Given that

find the possible values of .",Algebra,2-algebra,solving-quadratic-equations
"  where   and  
Find the ratio   
",Algebra,2-algebra,solving-quadratic-equations
"(7, 28) is a point on the graph 
Circle the point which must be on the graph 



(7, 26)
(7, 30)
(5, 28)
(9, 28)



",Algebra,2-algebra,transformations-of-graphs
"Here is the graph of  for  


On the grid above, sketch the graph of  for ",Algebra,2-algebra,transformations-of-graphs
"A geometric progression starts    4    16
Work out the next term.
",Algebra,2-algebra,sequences
Expand and simplify .,Number and Operations,1-number,surds
"Complete the table of values for 




0.5
1
2
3
4
5
6



 
6
 
2
 
 
1




",Algebra,2-algebra,graphs-of-functions
"On the grid, draw the graph of 

",Algebra,2-algebra,graphs-of-functions
Solve        ,Algebra,2-algebra,linear-equations
"The th term of a sequence is given by  where  and  are integers.
The 2nd term of the sequence is –2The 4th term of the sequence is 12
Find the 6th term of the sequence.",Algebra,6-algebra,sequences
"Gemma says
   The equation (2x + 1)(3x + 2) + x (3x + 5) + 2 = -12 has no solutions.
Explain Gemma’s reasoning.
",Algebra,2-algebra,algebraic-proof
Simplify fully    ,Algebra,2-algebra,algebraic-roots-and-indices
" and  are points on a grid.
 is the point with coordinates (106, 103) is the point with coordinates (106, 105) is the point with coordinates (104, 105.5)
 and  are two other points on the grid such that
    is the midpoint of     is the midpoint of 
Work out the coordinates of the point .",Algebra,2-algebra,coordinate-geometry
Give an interpretation of the gradient.,Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"Here are the first four terms of a sequence of fractions.

The numerators of the fractions form the sequence of whole numbers The denominators of the fractions form the sequence of odd numbers 
Write down an expression, in terms of , for the  term of this sequence of fractions.
",Algebra,2-algebra,algebraic-proof
Simplify  ,Algebra,6-algebra,algebraic-roots-and-indices
"On the number line below, show the set of values of  for which 
",Algebra,2-algebra,solving-inequalities
Show that   simplifies to   where  and  are integers.,Algebra,2-algebra,algebraic-fractions
"Complete the statement. When , ....................
",Algebra,2-algebra,algebra-toolkit
Prove that the difference between two consecutive square numbers is always odd.,Algebra,6-algebra,algebraic-proof
"
 is an integer.
Write down all the possible values of .",Algebra,6-algebra,solving-inequalities
"Point P has coordinates (0, -2).Write down the equation of the line parallel to line AB that passes through P.
",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"Solve 
 ......................................",Algebra,6-algebra,linear-equations
"Here are the first five terms of a different sequence.
2      2      0      -4      -10
An expression for the th term of this sequence is 
Write down, in terms of , an expression for the th term of a sequence whose first five terms are  

4      4      0      -8      -20",Algebra,6-algebra,sequences
"The graph of  is translated 4 units to the right.
The translated graph has equation 
Work out .
Give your answer in the form  where  and  are integers.",Algebra,2-algebra,transformations-of-graphs
"Given that   
find the values of  for which ",Algebra,6-algebra,solving-quadratic-equations
"Write down an expression, in terms of , for the  term of this sequence.",Algebra,2-algebra,sequences
Expand       ,Algebra,6-algebra,expanding-brackets
" and  are straight lines.Line  has equation Line  goes through the points  and 
Do lines  and  intersect?You must show all your working.",Algebra,2-algebra,coordinate-geometry
Show that   can be expressed as .,Algebra,6-algebra,algebraic-roots-and-indices
"Given that  
work out the value of .
...........................................",Algebra,6-algebra,algebraic-roots-and-indices
Simplify         ,Algebra,6-algebra,algebra-toolkit
"Solve  
Give your solutions to 3 significant figures.You must show your working.",Algebra,6-algebra,algebraic-fractions
"Prove algebraically that
          is an even number
for all positive integer values of .",Algebra,6-algebra,algebraic-proof
"Expressions for consecutive triangular numbers are
 and 
Prove that the sum of two consecutive triangular numbers is always a square number.",Algebra,6-algebra,algebraic-proof
"Using  
with  
find the values of ,  and ",Algebra,2-algebra,iteration
"
Ali thinks that the value of  will be a prime number for any whole number value of .
Is Ali correct?You must give a reason for your answer.",Algebra,6-algebra,algebraic-proof
Simplify    ,Algebra,6-algebra,algebraic-roots-and-indices
"The line  is the line of symmetry of the curve with equation 
Using your answer to part (a) or otherwise, write down an equation of .",Algebra,6-algebra,completing-the-square
Factorise             ,Algebra,6-algebra,factorising
Factorise              ,Algebra,6-algebra,factorising
"Expand and simplify 
",Algebra,2-algebra,expanding-brackets
"Solve.

.............. or ..............",Algebra,6-algebra,solving-quadratic-equations
Show that the equation  has a solution between  and ,Algebra,2-algebra,iteration
"The diagram shows a triangle.

In the diagram, all the measurements are in metres.
The perimeter of the triangle is 56 m.The area of the triangle is A m2.
Work out the value of A.",Algebra,6-algebra,forming-and-solving-equations
"Solve the inequality 
",Algebra,2-algebra,solving-inequalities
"The diagram shows the plan of a floor.

The area of the floor is 138 m2.
Work out the value of .",Algebra,6-algebra,forming-and-solving-equations
"3 teas and 2 coffees have a total cost of £7.805 teas and 4 coffees have a total cost of £14.20
Work out the cost of one tea and the cost of one coffee.",Algebra,6-algebra,forming-and-solving-equations
"The diagram shows a right-angled triangle.

All the angles are in degrees.Work out the size of the smallest angle of the triangle.",Algebra,6-algebra,forming-and-solving-equations
"The diagram shows a rectangle,  , and two congruent triangles, and .

area of rectangle  = area of triangle  + area of triangle 

Work out the length of .
.....................................cm",Algebra,6-algebra,forming-and-solving-equations
"Solve.

................................",Algebra,2-algebra,linear-equations
"Use your answer to part (a) to solve the equation 
Give your solutions in the form  where  and are integers.
",Algebra,2-algebra,solving-quadratic-equations
"Find this solution correct to 1 decimal place.
Show your working.
x = .......................................................",Algebra,6-algebra,iteration
Make  the subject of the formula  ,Algebra,6-algebra,rearranging-formulae
Solve      ,Algebra,6-algebra,linear-equations
"
The lengths of the sides are in centimetres.
The area of triangle T1 is equal to the area of triangle T2.
Work out the value of , giving your answer in the form    where  and  are integers.",Algebra,6-algebra,solving-quadratic-equations
