Passage ID,English Text,Chinese Translation,gpt_response_parsing_failed
265859,"Preety is a student in Year 12,Preety ∉ F.Use this information to write a statement about Preety.

",Error in response,Preety is a student in Year 12 and it can be inferred that Preety is not a member of the set F.
272501,"

",,
266271,"The mass of a cat is 4.3 kg correct to 2 significant figures.

i)Write down the upper bound of the weight of the cat. ........................... kg [1]

ii)Write down the lower bound of the weight of the cat. ........................... kg [1]

",,
272502,"

",,
274402,"

",,
294329,"Method 1The second difference is always 6, which tells us that we have a quadratic sequence an2 + bn + c  and that:Therefore the first part of the nth term is 3n2. identifying 3n2 as part of the nth term [1]At this point it may be useful to complete the first four terms of the sequence using the first and second differences in the diagram.Write the sequence 3n2 and determine what needs needs to be added to it to get the given sequence.We see that to go from 3n2 to the sequence, we need to add the linear sequence 7, 5, 3, 1, ... . This linear sequence is going down by 2 each time so its first part is;[1]And for the linear sequence, when n = 1, −2n = −2 and the term itself is 7. When n = 1, to go from −2 to 7, we need to;[1]The linear sequence that needs to be added to 3n2 is −2n + 9. Put these together for the answer.nth term =  [1]

Method 2The second difference is always 6, which tells us that we have a quadratic sequence an2 + bn + c  and that:Therefore the first part of the nth term is 3n2. identifying 3n2 as part of the nth term [1]When n = 1, the term is 10 therefore;And when n = 2, the term is 17 therefore;We have two simultaneous equations which we can simplify into a more recognisable form.Solve the simultaneous equations. Here we will use elimination.[1]Substitute b = -2 into  or .[1]Now replace a, b and c with the found values, in an2 + bn + c.nth term =  [1]

",,
270826,"Water is poured into a tank.The graph shows the number of litres of water in the tank.How much water is poured into the tank each minute?Circle your answer.

",,
270980,"There are some counters in a bag.The counters are red or white or blue or yellow.Bob is going to take at random a counter from the bag.The table shows each of the probabilities that the counter will be blue or will be yellow.There are 18 blue counters in the bag.The probability that the counter Bob takes will be red is twice the probability that the counter will be white.Work out the number of red counters in the bag.

",,
270991,"Hanif makes green paint by mixing blue paint and yellow paint in the ratioblue : yellow = 7 : 3He buys blue paint in 50-litre containers, each costing £225He buys yellow paint in 20-litre containers, each costing £80He wants tosell the green paint in 5-litre tinsmake 40% profit on each tin.How much should he sell each tin for?£.......................................

",,
271078,"Ana wants to offer a discount to the customers who spend the most money in her shop.She wants to give the discount to approximately 25% of her customers.Suggest a suitable amount of money for Ana to use on her voucher.Justify your decision.

",,
271131,"Use your answer to part (a) to solve the equation Give your solutions in the form  where  and are integers.

",,
271130,"Here is a sequence.Work out the next term.

",,
270936,"and  are points on a grid. is the point with coordinates (106, 103) is the point with coordinates (106, 105) is the point with coordinates (104, 105.5) and  are two other points on the grid such that    is the midpoint of     is the midpoint of Work out the coordinates of the point .

",,
296043,"Find angle ADO.Angle ADO = 90o   (Angle between a tangent and a radius = 90o)Find acute angle AOD.Acute Angle AOD + Angle ADO + Angle DAO = 180o   (Angles in a triangle = 180o)Angle AOD + 90 + 40 = 180Angle AOD = 50o Correct working to find angle AOD [1]Find reflex angle AOD.Reflex Angle AOD  + Acute Angle AOD = 360o   (Angles around a point = 360oReflex Angle AOD  + 50 = 360Reflex Angle AOD  = 310oFind angle BCD.2 x Angle BCD = Reflex Angle AOD   (Angle at the centre is twice the angle at the circumference)2 x Angle BCD  = 310 Correct working to find angle BCD [1]Angle BCD = 155o [1]At least two reasons, one of which is a circle theorem [1] Complete reasons for method [1]

",,
